employee_id,age,gender,marital_status,department,job_role,education_level,years_at_company,years_in_role,monthly_salary,salary_hike_pct,job_satisfaction,work_life_balance,environment_satisfaction,overtime,business_travel,num_companies_worked,distance_from_home_km,performance_rating,training_hours_last_year,attrition
EMP0001,33,Female,Single,Sales,Account Manager,Post-Graduate,8,5,100276,19,3,3,4,No,Rarely,3,51,4,47,No
EMP0002,31,Female,Married,Operations,Process Associate,Post-Graduate,10,0,91013,25,3,4,3,No,No Travel,0,28,3,68,No
EMP0003,51,Male,Married,Finance,Accounts Executive,Graduate,5,5,101723,17,3,4,4,No,No Travel,0,11,3,53,No
EMP0004,31,Male,Married,Sales,Sales Executive,Graduate,4,4,82640,9,4,4,3,No,Rarely,2,23,4,60,No
EMP0005,31,Male,Divorced,Technology,Tech Lead,Graduate,3,1,116099,8,4,3,4,No,Rarely,7,52,3,32,Yes
EMP0006,26,Male,Single,Operations,Process Associate,Post-Graduate,1,1,49794,15,2,4,2,No,Rarely,1,12,4,47,No
EMP0007,36,Male,Married,Sales,Sales Lead,Graduate,9,0,112823,25,3,2,4,No,No Travel,4,29,4,10,No
EMP0008,26,Male,Single,Sales,Business Development Manager,Post-Graduate,10,6,110816,20,1,4,3,Yes,Frequently,2,19,3,77,No
EMP0009,34,Female,Single,Finance,Finance Manager,Graduate,0,0,70821,25,2,4,4,No,Rarely,4,43,3,29,No
EMP0010,22,Male,Married,Operations,Team Lead,Graduate,9,5,84497,8,3,4,4,Yes,Frequently,6,30,3,80,No
EMP0011,34,Male,Divorced,Finance,Senior Accountant,Post-Graduate,2,2,75023,4,3,3,3,No,Rarely,4,13,4,50,No
EMP0012,43,Female,Married,Technology,QA Engineer,Post-Graduate,12,3,181205,25,2,2,2,No,Frequently,6,12,4,61,No
EMP0013,32,Male,Married,Finance,Finance Manager,Doctorate,0,0,70402,18,1,3,1,No,No Travel,0,38,3,33,Yes
EMP0014,47,Male,Single,Finance,Financial Analyst,Post-Graduate,9,1,121477,17,1,4,2,Yes,Rarely,4,18,3,9,No
EMP0015,33,Male,Married,Technology,Tech Lead,Post-Graduate,2,2,115606,6,3,4,2,Yes,Rarely,6,11,3,29,No
EMP0016,43,Male,Married,HR,Talent Acquisition Specialist,Post-Graduate,13,1,97037,8,3,2,3,No,Frequently,3,25,4,12,No
EMP0017,27,Female,Married,Operations,Team Lead,Post-Graduate,14,2,86145,13,3,3,1,No,No Travel,0,57,3,71,No
